,x_yng,x_old
293,"[-0.1628     -0.22137156 -0.39073911 -0.65254904 -0.97843019 -1.33306827
 -1.67803275 -1.97594138 -2.19451113 -2.31005657 -2.31005657 -2.19451113
 -1.97594138 -1.67803275 -1.33306827 -0.97843019 -0.65254904 -0.39073911
 -0.22137156 -0.1628    ]","[-66.8537     -66.49593667 -65.46141587 -63.86224399 -61.87171612
 -59.70553684 -57.59844528 -55.77877751 -54.44372277 -53.73795495
 -53.73795495 -54.44372277 -55.77877751 -57.59844528 -59.70553684
 -61.87171612 -63.86224399 -65.46141587 -66.49593667 -66.8537    ]"
294,"[ -30.769       -33.0775106   -39.75287946  -50.07172678  -62.91584533
  -76.89337559  -90.48963526 -102.23125864 -110.84585864 -115.39990969
 -115.39990969 -110.84585864 -102.23125864  -90.48963526  -76.89337559
  -62.91584533  -50.07172678  -39.75287946  -33.0775106   -30.769     ]","[-27.4087     -29.23358614 -34.51048982 -42.66757664 -52.8208997
 -63.87018887 -74.61808224 -83.89987879 -90.70975184 -94.30974597
 -94.30974597 -90.70975184 -83.89987879 -74.61808224 -63.87018887
 -52.8208997  -42.66757664 -34.51048982 -29.23358614 -27.4087    ]"
295,"[ -24.9707      -27.22934621  -33.76052547  -43.85648316  -56.42316563
  -70.09877782  -83.40135496  -94.88935641 -103.31787895 -107.77356139
 -107.77356139 -103.31787895  -94.88935641  -83.40135496  -70.09877782
  -56.42316563  -43.85648316  -33.76052547  -27.22934621  -24.9707    ]","[-110.214      -110.39834058 -110.93138616 -111.75537298 -112.78100928
 -113.89715145 -114.98284817 -115.92044736 -116.6083456  -116.97199843
 -116.97199843 -116.6083456  -115.92044736 -114.98284817 -113.89715145
 -112.78100928 -111.75537298 -110.93138616 -110.39834058 -110.214     ]"
296,"[-107.1157     -104.55995889  -97.16968977  -85.74574298  -71.52608039
  -56.05162311  -40.99926868  -28.00017328  -18.46299058  -13.42122232
  -13.42122232  -18.46299058  -28.00017328  -40.99926868  -56.05162311
  -71.52608039  -85.74574298  -97.16968977 -104.55995889 -107.1157    ]","[-65.7437     -65.94313048 -66.51981053 -67.41124791 -68.52084157
 -69.7283498  -70.90292035 -71.91727028 -72.66147904 -73.05490005
 -73.05490005 -72.66147904 -71.91727028 -70.90292035 -69.7283498
 -68.52084157 -67.41124791 -66.51981053 -65.94313048 -65.7437    ]"
297,"[-92.1342     -92.06568048 -91.86754709 -91.56127064 -91.18004095
 -90.76517016 -90.36161597 -90.01310972 -89.75741749 -89.6222475
 -89.6222475  -89.75741749 -90.01310972 -90.36161597 -90.76517016
 -91.18004095 -91.56127064 -91.86754709 -92.06568048 -92.1342    ]","[-11.5908     -12.22177989 -14.04634311 -16.86676992 -20.37742331
 -24.19786951 -27.9141039  -31.12341481 -33.47802362 -34.72277192
 -34.72277192 -33.47802362 -31.12341481 -27.9141039  -24.19786951
 -20.37742331 -16.86676992 -14.04634311 -12.22177989 -11.5908    ]"
298,"[-112.9253     -112.62703475 -111.76456068 -110.43134022 -108.77184851
 -106.96591722 -105.20924703 -103.6922004  -102.57917289 -101.9907783
 -101.9907783  -102.57917289 -103.6922004  -105.20924703 -106.96591722
 -108.77184851 -110.43134022 -111.76456068 -112.62703475 -112.9253    ]","[-21.5874     -21.16740777 -19.95294374 -18.07561395 -15.73885621
 -13.19589446 -10.72229809  -8.58611963  -7.01884716  -6.19031899
  -6.19031899  -7.01884716  -8.58611963 -10.72229809 -13.19589446
 -15.73885621 -18.07561395 -19.95294374 -21.16740777 -21.5874    ]"
299,"[ -48.1639      -49.88073488  -54.84519382  -62.51930066  -72.07144685
  -82.46650914  -92.57802123 -101.31024388 -107.71690528 -111.10374426
 -111.10374426 -107.71690528 -101.31024388  -92.57802123  -82.46650914
  -72.07144685  -62.51930066  -54.84519382  -49.88073488  -48.1639    ]","[-117.0995     -116.81649804 -115.99815979 -114.73316492 -113.15859525
 -111.44507982 -109.77830463 -108.33889062 -107.28282065 -106.72453628
 -106.72453628 -107.28282065 -108.33889062 -109.77830463 -111.44507982
 -113.15859525 -114.73316492 -115.99815979 -116.81649804 -117.0995    ]"
300,"[ -16.2026      -18.87810126  -26.61467296  -38.57393751  -53.45992303
  -69.65950202  -85.41719871  -99.02542218 -109.00951026 -114.28753207
 -114.28753207 -109.00951026  -99.02542218  -85.41719871  -69.65950202
  -53.45992303  -38.57393751  -26.61467296  -18.87810126  -16.2026    ]","[-35.2285     -34.32773332 -31.72304531 -27.69669435 -22.68499803
 -17.23105141 -11.92587424  -7.34436478  -3.98300068  -2.20603788
  -2.20603788  -3.98300068  -7.34436478 -11.92587424 -17.23105141
 -22.68499803 -27.69669435 -31.72304531 -34.32773332 -35.2285    ]"
301,"[-103.8526     -104.11628581 -104.8787688  -106.05742209 -107.52452033
 -109.12108064 -110.67409095 -112.0152585  -112.99924696 -113.51942592
 -113.51942592 -112.99924696 -112.0152585  -110.67409095 -109.12108064
 -107.52452033 -106.05742209 -104.8787688  -104.11628581 -103.8526    ]","[-24.1702     -23.54708202 -21.7452526  -18.9599679  -15.49305675
 -11.72021275  -8.05028211  -4.88095874  -2.55568802  -1.3264491
  -1.3264491   -2.55568802  -4.88095874  -8.05028211 -11.72021275
 -15.49305675 -18.9599679  -21.7452526  -23.54708202 -24.1702    ]"
302,"[ -0.7066      -1.85189347  -5.16366357 -10.28302861 -16.65522597
 -23.58972917 -30.33507721 -36.16030695 -40.43416436 -42.69351069
 -42.69351069 -40.43416436 -36.16030695 -30.33507721 -23.58972917
 -16.65522597 -10.28302861  -5.16366357  -1.85189347  -0.7066    ]","[-58.8231     -59.6927712  -62.20754243 -66.0948992  -70.93358609
 -76.1992563  -81.32129275 -85.74464332 -88.98996934 -90.70558937
 -90.70558937 -88.98996934 -85.74464332 -81.32129275 -76.1992563
 -70.93358609 -66.0948992  -62.20754243 -59.6927712  -58.8231    ]"
303,"[ -15.3339      -17.91749105  -25.388292    -36.93672567  -51.31134007
  -66.95442267  -82.17080276  -95.31154945 -104.95265893 -110.04936739
 -110.04936739 -104.95265893  -95.31154945  -82.17080276  -66.95442267
  -51.31134007  -36.93672567  -25.388292    -17.91749105  -15.3339    ]","[ -18.3961      -21.05500508  -28.7435867   -40.62866773  -55.42231524
  -71.52140796  -87.1813594  -100.70517084 -110.62732745 -115.87260961
 -115.87260961 -110.62732745 -100.70517084  -87.1813594   -71.52140796
  -55.42231524  -40.62866773  -28.7435867   -21.05500508  -18.3961    ]"
304,"[-118.293      -116.59910068 -111.700963   -104.12937618  -94.70483914
  -84.4486467   -74.47221645  -65.85664941  -59.53557596  -56.19398248
  -56.19398248  -59.53557596  -65.85664941  -74.47221645  -84.4486467
  -94.70483914 -104.12937618 -111.700963   -116.59910068 -118.293     ]","[-34.246      -34.20747606 -34.0960789  -33.92388014 -33.70954018
 -33.47628609 -33.24939455 -33.0534528  -32.90969416 -32.83369711
 -32.83369711 -32.90969416 -33.0534528  -33.24939455 -33.47628609
 -33.70954018 -33.92388014 -34.0960789  -34.20747606 -34.246     ]"
305,"[ -79.4523      -80.22976298  -82.47790174  -85.95309557  -90.27875329
  -94.98612277  -99.56508748 -103.51944554 -106.42068091 -107.95439971
 -107.95439971 -106.42068091 -103.51944554  -99.56508748  -94.98612277
  -90.27875329  -85.95309557  -82.47790174  -80.22976298  -79.4523    ]","[-1.2412     -1.29105356 -1.43521182 -1.658053   -1.9354288  -2.23728126
 -2.53089996 -2.78446677 -2.9705038  -3.06885104 -3.06885104 -2.9705038
 -2.78446677 -2.53089996 -2.23728126 -1.9354288  -1.658053   -1.43521182
 -1.29105356 -1.2412    ]"
306,"[-63.6708     -62.48661414 -59.06238149 -53.76917078 -47.18058352
 -40.01059537 -33.03618582 -27.01314034 -22.59414938 -20.25807917
 -20.25807917 -22.59414938 -27.01314034 -33.03618582 -40.01059537
 -47.18058352 -53.76917078 -59.06238149 -62.48661414 -63.6708    ]","[-116.5947     -116.63558089 -116.75379349 -116.93652761 -117.1639812
 -117.41150612 -117.6522792  -117.86020895 -118.01276295 -118.0934096
 -118.0934096  -118.01276295 -117.86020895 -117.6522792  -117.41150612
 -117.1639812  -116.93652761 -116.75379349 -116.63558089 -116.5947    ]"
307,"[ -95.1367      -95.64546526  -97.11662844  -99.39076618 -102.22144037
 -105.30190354 -108.2983397  -110.8860385  -112.78458263 -113.78823537
 -113.78823537 -112.78458263 -110.8860385  -108.2983397  -105.30190354
 -102.22144037  -99.39076618  -97.11662844  -95.64546526  -95.1367    ]","[ -48.3692      -49.9867829   -54.6642414   -61.8947003   -70.89462717
  -80.6887403   -90.21569555  -98.4430995  -104.47938526 -107.67042762
 -107.67042762 -104.47938526  -98.4430995   -90.21569555  -80.6887403
  -70.89462717  -61.8947003   -54.6642414   -49.9867829   -48.3692    ]"
308,"[-38.1016     -37.76644171 -36.79728645 -35.29915722 -33.43439958
 -31.40508894 -29.43113261 -27.72643938 -26.47573922 -25.81456489
 -25.81456489 -26.47573922 -27.72643938 -29.43113261 -31.40508894
 -33.43439958 -35.29915722 -36.79728645 -37.76644171 -38.1016    ]","[-25.8791     -25.99207647 -26.31876312 -26.8237584  -27.45233821
 -28.13638619 -28.80177513 -29.3763998  -29.79799072 -30.02086195
 -30.02086195 -29.79799072 -29.3763998  -28.80177513 -28.13638619
 -27.45233821 -26.8237584  -26.31876312 -25.99207647 -25.8791    ]"
309,"[ -68.8848      -70.21921297  -74.07784753  -80.04256076  -87.46698342
  -95.54656412 -103.40575492 -110.19289055 -115.17247954 -117.80490618
 -117.80490618 -115.17247954 -110.19289055 -103.40575492  -95.54656412
  -87.46698342  -80.04256076  -74.07784753  -70.21921297  -68.8848    ]","[-99.5077     -98.31874606 -94.88072585 -89.56620221 -82.95108624
 -75.75222839 -68.74973662 -62.70243956 -58.26565569 -55.92017937
 -55.92017937 -58.26565569 -62.70243956 -68.74973662 -75.75222839
 -82.95108624 -89.56620221 -94.88072585 -98.31874606 -99.5077    ]"
310,"[ -91.8971      -92.53984297  -94.39842071  -97.27142747 -100.84752841
 -104.73919749 -108.52471197 -111.79385264 -114.19235737 -115.46031096
 -115.46031096 -114.19235737 -111.79385264 -108.52471197 -104.73919749
 -100.84752841  -97.27142747  -94.39842071  -92.53984297  -91.8971    ]","[-111.9881     -110.85808607 -107.59049881 -102.53943201  -96.25224713
  -89.4102582   -82.7549009   -77.00738645  -72.79054723  -70.5613432
  -70.5613432   -72.79054723  -77.00738645  -82.7549009   -89.4102582
  -96.25224713 -102.53943201 -107.59049881 -110.85808607 -111.9881    ]"
311,"[-7.0789     -7.04511705 -6.94742911 -6.79642218 -6.6084602  -6.40391178
 -6.2049429  -6.03311494 -5.90704812 -5.84040373 -5.84040373 -5.90704812
 -6.03311494 -6.2049429  -6.40391178 -6.6084602  -6.79642218 -6.94742911
 -7.04511705 -7.0789    ]","[-93.5536     -92.7407015  -90.39009615 -86.75650852 -82.23369422
 -77.31177034 -72.52410371 -68.38951231 -65.35604326 -63.75242
 -63.75242    -65.35604326 -68.38951231 -72.52410371 -77.31177034
 -82.23369422 -86.75650852 -90.39009615 -92.7407015  -93.5536    ]"
312,"[-21.7695     -23.45965529 -28.34696661 -35.90181793 -45.30552391
 -55.53904707 -65.4934264  -74.08995043 -80.39705241 -83.73125995
 -83.73125995 -80.39705241 -74.08995043 -65.4934264  -55.53904707
 -45.30552391 -35.90181793 -28.34696661 -23.45965529 -21.7695    ]","[-94.4786     -94.3161926  -93.84656976 -93.12062241 -92.2170182
 -91.23367667 -90.27715813 -89.45111622 -88.84506538 -88.52468063
 -88.52468063 -88.84506538 -89.45111622 -90.27715813 -91.23367667
 -92.2170182  -93.12062241 -93.84656976 -94.3161926  -94.4786    ]"
313,"[-30.8671     -30.14508224 -28.05727077 -24.82991238 -20.81274141
 -16.44108067 -12.18866745  -8.51631669  -5.82198458  -4.39764382
  -4.39764382  -5.82198458  -8.51631669 -12.18866745 -16.44108067
 -20.81274141 -24.82991238 -28.05727077 -30.14508224 -30.8671    ]","[-110.497      -109.75425733 -107.60651702 -104.28652005 -100.15403961
  -95.65689407  -91.28241895  -87.50465649  -84.73298587  -83.26776062
  -83.26776062  -84.73298587  -87.50465649  -91.28241895  -95.65689407
 -100.15403961 -104.28652005 -107.60651702 -109.75425733 -110.497     ]"
314,"[-115.5532     -115.54403228 -115.51752257 -115.47654363 -115.42553614
 -115.37002757 -115.31603313 -115.26940396 -115.23519304 -115.21710767
 -115.21710767 -115.23519304 -115.26940396 -115.31603313 -115.37002757
 -115.42553614 -115.47654363 -115.51752257 -115.54403228 -115.5532    ]","[-119.252      -118.34535449 -115.72366706 -111.67103822 -106.6266332
 -101.13709155  -95.79729029  -91.18587973  -87.80257777  -86.01401767
  -86.01401767  -87.80257777  -91.18587973  -95.79729029 -101.13709155
 -106.6266332  -111.67103822 -115.72366706 -118.34535449 -119.252     ]"
315,"[-28.6116     -28.80912325 -29.38028827 -30.26320049 -31.36218266
 -32.558143   -33.72148067 -34.72612997 -35.46322156 -35.85288013
 -35.85288013 -35.46322156 -34.72612997 -33.72148067 -32.558143
 -31.36218266 -30.26320049 -29.38028827 -28.80912325 -28.6116    ]","[ -22.506       -24.97981136  -32.13316959  -43.19089733  -56.95471821
  -71.93310866  -86.50292766  -99.08530926 -108.31675716 -113.19690076
 -113.19690076 -108.31675716  -99.08530926  -86.50292766  -71.93310866
  -56.95471821  -43.19089733  -32.13316959  -24.97981136  -22.506     ]"
316,"[-94.0068     -92.21079327 -87.01739829 -78.98939999 -68.99675654
 -58.12232592 -47.54452142 -38.40961229 -31.70750767 -28.1644846
 -28.1644846  -31.70750767 -38.40961229 -47.54452142 -58.12232592
 -68.99675654 -78.98939999 -87.01739829 -92.21079327 -94.0068    ]","[-111.9849     -111.22700783 -109.0354607  -105.64774675 -101.43097735
  -96.84210489  -92.37840491  -88.52358856  -85.69538501  -84.200274
  -84.200274    -85.69538501  -88.52358856  -92.37840491  -96.84210489
 -101.43097735 -105.64774675 -109.0354607  -111.22700783 -111.9849    ]"
317,"[ -58.4068      -59.64966578  -63.24357934  -68.79908437  -75.7141557
  -83.23943806  -90.55945033  -96.8809556  -101.51892069 -103.97075012
 -103.97075012 -101.51892069  -96.8809556   -90.55945033  -83.23943806
  -75.7141557   -68.79908437  -63.24357934  -59.64966578  -58.4068    ]","[-114.2241     -113.57578704 -111.70110294 -108.8031988  -105.1961075
 -101.27071336  -97.45239374  -94.15492281  -91.73563272  -90.4566911
  -90.4566911   -91.73563272  -94.15492281  -97.45239374 -101.27071336
 -105.1961075  -108.8031988  -111.70110294 -113.57578704 -114.2241    ]"
318,"[-110.7576     -109.89915005 -107.41682657 -103.57962784  -98.80337386
  -93.60564588  -88.54969837  -84.18342169  -80.97996968  -79.28648605
  -79.28648605  -80.97996968  -84.18342169  -88.54969837  -93.60564588
  -98.80337386 -103.57962784 -107.41682657 -109.89915005 -110.7576    ]","[-119.6037     -119.60332072 -119.60222398 -119.60052864 -119.5984184
 -119.59612194 -119.59388813 -119.59195903 -119.59054368 -119.58979547
 -119.58979547 -119.59054368 -119.59195903 -119.59388813 -119.59612194
 -119.5984184  -119.60052864 -119.60222398 -119.60332072 -119.6037    ]"
319,"[-17.1306     -16.98067631 -16.54715179 -15.87700555 -15.04285834
 -14.13510295 -13.25210876 -12.48956189 -11.93009613 -11.63433827
 -11.63433827 -11.93009613 -12.48956189 -13.25210876 -14.13510295
 -15.04285834 -15.87700555 -16.54715179 -16.98067631 -17.1306    ]","[-33.4844     -33.17885801 -32.29534225 -30.92959536 -29.22961721
 -27.37962681 -25.58009933 -24.02604149 -22.88585957 -22.28310997
 -22.28310997 -22.88585957 -24.02604149 -25.58009933 -27.37962681
 -29.22961721 -30.92959536 -32.29534225 -33.17885801 -33.4844    ]"
320,"[-105.8562     -104.84961981 -101.93895781  -97.43962941  -91.83920664
  -85.74458221  -79.81620325  -74.6965016   -70.94027639  -68.95457289
  -68.95457289  -70.94027639  -74.6965016   -79.81620325  -85.74458221
  -91.83920664  -97.43962941 -101.93895781 -104.84961981 -105.8562    ]","[-103.499      -103.18148904 -102.26336339 -100.84411621  -99.07754495
  -97.15508504  -95.28506481  -93.67012999  -92.48528382  -91.85892276
  -91.85892276  -92.48528382  -93.67012999  -95.28506481  -97.15508504
  -99.07754495 -100.84411621 -102.26336339 -103.18148904 -103.499     ]"
321,"[-24.9039     -24.39015534 -22.90459357 -20.60819835 -17.74981974
 -14.63920742 -11.61344449  -9.00041932  -7.08329373  -6.06981803
  -6.06981803  -7.08329373  -9.00041932 -11.61344449 -14.63920742
 -17.74981974 -20.60819835 -22.90459357 -24.39015534 -24.9039    ]","[-107.4683     -105.04685628  -98.04492611  -87.22127727  -73.74882007
  -59.08750428  -44.82611096  -32.51008338  -23.47405422  -18.69721744
  -18.69721744  -23.47405422  -32.51008338  -44.82611096  -59.08750428
  -73.74882007  -87.22127727  -98.04492611 -105.04685628 -107.4683    ]"
322,"[-35.9871     -36.55292513 -38.18908457 -40.71827508 -43.86641961
 -47.29236785 -50.62486515 -53.50278372 -55.61425644 -56.73047246
 -56.73047246 -55.61425644 -53.50278372 -50.62486515 -47.29236785
 -43.86641961 -40.71827508 -38.18908457 -36.55292513 -35.9871    ]","[-32.4943     -32.94234806 -34.2379393  -36.24067629 -38.73353141
 -41.44636512 -44.08519981 -46.36407677 -48.03604434 -48.91991889
 -48.91991889 -48.03604434 -46.36407677 -44.08519981 -41.44636512
 -38.73353141 -36.24067629 -34.2379393  -32.94234806 -32.4943    ]"
323,"[-17.3873     -18.02001916 -19.8496117  -22.67781288 -26.19814322
 -30.02912031 -33.75559832 -36.97375555 -39.33485473 -40.58303412
 -40.58303412 -39.33485473 -36.97375555 -33.75559832 -30.02912031
 -26.19814322 -22.67781288 -19.8496117  -18.02001916 -17.3873    ]","[ -88.7699      -89.24289923  -90.6106401   -92.72490666  -95.35658534
  -98.22049291 -101.00628055 -103.41206494 -105.17714201 -106.11023827
 -106.11023827 -105.17714201 -103.41206494 -101.00628055  -98.22049291
  -95.35658534  -92.72490666  -90.6106401   -89.24289923  -88.7699    ]"
324,"[-109.5322     -109.78502759 -110.51611256 -111.6462305  -113.05291562
 -114.58373174 -116.07279119 -117.35873127 -118.30220042 -118.80095911
 -118.80095911 -118.30220042 -117.35873127 -116.07279119 -114.58373174
 -113.05291562 -111.6462305  -110.51611256 -109.78502759 -109.5322    ]","[ -3.6439      -4.10219944  -5.42743392  -7.4759937  -10.02588556
 -12.80078914 -15.50000058 -17.83101845 -19.54124078 -20.44533845
 -20.44533845 -19.54124078 -17.83101845 -15.50000058 -12.80078914
 -10.02588556  -7.4759937   -5.42743392  -4.10219944  -3.6439    ]"
325,"[-38.2192     -37.61248315 -35.85807977 -33.1461067  -29.77044829
 -26.09690952 -22.52357531 -19.43767187 -17.17360472 -15.97672067
 -15.97672067 -17.17360472 -19.43767187 -22.52357531 -26.09690952
 -29.77044829 -33.1461067  -35.85807977 -37.61248315 -38.2192    ]","[-87.8628     -86.13301002 -81.13108968 -73.39907464 -63.77484873
 -53.30134614 -43.1135334  -34.3154181  -27.86041255 -24.44801675
 -24.44801675 -27.86041255 -34.3154181  -43.1135334  -53.30134614
 -63.77484873 -73.39907464 -81.13108968 -86.13301002 -87.8628    ]"
326,"[-117.8618     -117.60360832 -116.85701236 -115.70291736 -114.26638744
 -112.7030929  -111.18244096 -109.86921785 -108.90573168 -108.39639112
 -108.39639112 -108.90573168 -109.86921785 -111.18244096 -112.7030929
 -114.26638744 -115.70291736 -116.85701236 -117.60360832 -117.8618    ]","[-14.6201     -15.78288908 -19.1452501  -24.34281905 -30.8123587
 -37.85279404 -44.70118466 -50.61540117 -54.95454644 -57.24840675
 -57.24840675 -54.95454644 -50.61540117 -44.70118466 -37.85279404
 -30.8123587  -24.34281905 -19.1452501  -15.78288908 -14.6201    ]"
327,"[-76.2039     -74.81126765 -70.78428394 -64.55933503 -56.81099073
 -48.37890437 -40.17682335 -33.09357041 -27.89672591 -25.1494486
 -25.1494486  -27.89672591 -33.09357041 -40.17682335 -48.37890437
 -56.81099073 -64.55933503 -70.78428394 -74.81126765 -76.2039    ]","[ -57.6135      -59.0852175   -63.34088657  -69.91933943  -78.10769865
  -87.01862844  -95.68649129 -103.17198978 -108.66395398 -111.56724436
 -111.56724436 -108.66395398 -103.17198978  -95.68649129  -87.01862844
  -78.10769865  -69.91933943  -63.34088657  -59.0852175   -57.6135    ]"
328,"[-54.1822     -54.62303634 -55.8977739  -57.86827509 -60.32100553
 -62.99017381 -65.58653414 -67.82873059 -69.47378639 -70.3434342
 -70.3434342  -69.47378639 -67.82873059 -65.58653414 -62.99017381
 -60.32100553 -57.86827509 -55.8977739  -54.62303634 -54.1822    ]","[-19.8425     -19.46970637 -18.39172345 -16.72536741 -14.6512138
 -12.39402933 -10.19841497  -8.3022996   -6.91115675  -6.17573832
  -6.17573832  -6.91115675  -8.3022996  -10.19841497 -12.39402933
 -14.6512138  -16.72536741 -18.39172345 -19.46970637 -19.8425    ]"
329,"[-23.6941     -23.61266873 -23.37719927 -23.01320839 -22.56014014
 -22.0670915  -21.58749195 -21.17331353 -20.8694389  -20.7087976
 -20.7087976  -20.8694389  -21.17331353 -21.58749195 -22.0670915
 -22.56014014 -23.01320839 -23.37719927 -23.61266873 -23.6941    ]","[-1.2649     -1.36388648 -1.6501192  -2.09258041 -2.64332256 -3.24266421
 -3.82565737 -4.3291257  -4.6985106  -4.89378347 -4.89378347 -4.6985106
 -4.3291257  -3.82565737 -3.24266421 -2.64332256 -2.09258041 -1.6501192
 -1.36388648 -1.2649    ]"
330,"[-1.1484     -1.20278323 -1.36003967 -1.60312813 -1.90570622 -2.23498489
 -2.5552817  -2.83188751 -3.0348278  -3.14211084 -3.14211084 -3.0348278
 -2.83188751 -2.5552817  -2.23498489 -1.90570622 -1.60312813 -1.36003967
 -1.20278323 -1.1484    ]","[-60.3829     -60.70257827 -61.62697099 -63.05590587 -64.83453563
 -66.77011814 -68.65290301 -70.27886127 -71.47179513 -72.10243169
 -72.10243169 -71.47179513 -70.27886127 -68.65290301 -66.77011814
 -64.83453563 -63.05590587 -61.62697099 -60.70257827 -60.3829    ]"
331,"[ -8.7446      -9.71534372 -12.52237972 -16.8615221  -22.26255746
 -28.14019981 -33.8575154  -38.79494437 -42.41743967 -44.33244775
 -44.33244775 -42.41743967 -38.79494437 -33.8575154  -28.14019981
 -22.26255746 -16.8615221  -12.52237972  -9.71534372  -8.7446    ]","[-64.6996     -65.05805146 -66.09456205 -67.69680977 -69.69116621
 -71.86151192 -73.97265625 -75.79582397 -77.13344655 -77.84057184
 -77.84057184 -77.13344655 -75.79582397 -73.97265625 -71.86151192
 -69.69116621 -67.69680977 -66.09456205 -65.05805146 -64.6996    ]"
332,"[-12.9917     -14.10003541 -17.30493631 -22.25910195 -28.42567162
 -35.1364018  -41.66408076 -47.30133319 -51.43727532 -53.62371364
 -53.62371364 -51.43727532 -47.30133319 -41.66408076 -35.1364018
 -28.42567162 -22.25910195 -17.30493631 -14.10003541 -12.9917    ]","[ -4.7152      -6.36745445 -11.14517039 -18.53060817 -27.72344101
 -37.72748282 -47.45864045 -55.86239197 -62.02806052 -65.28750022
 -65.28750022 -62.02806052 -55.86239197 -47.45864045 -37.72748282
 -27.72344101 -18.53060817 -11.14517039  -6.36745445  -4.7152    ]"
333,"[-26.3169     -26.25120882 -26.06125395 -25.76761995 -25.4021266
 -25.0043808  -24.61748447 -24.28336382 -24.03822602 -23.90863556
 -23.90863556 -24.03822602 -24.28336382 -24.61748447 -25.0043808
 -25.4021266  -25.76761995 -26.06125395 -26.25120882 -26.3169    ]","[-71.2428     -69.91014255 -66.05658431 -60.09971812 -52.68506285
 -44.61611145 -36.76726001 -29.98905338 -25.0160154  -22.38705193
 -22.38705193 -25.0160154  -29.98905338 -36.76726001 -44.61611145
 -52.68506285 -60.09971812 -66.05658431 -69.91014255 -71.2428    ]"
334,"[-107.6448     -106.27387327 -102.30965425  -96.1817276   -88.55414925
  -80.25348566  -72.17924253  -65.2063894   -60.09054309  -57.38608494
  -57.38608494  -60.09054309  -65.2063894   -72.17924253  -80.25348566
  -88.55414925  -96.1817276  -102.30965425 -106.27387327 -107.6448    ]","[ -2.6889      -3.37151606  -5.34539221  -8.39662832 -12.19457564
 -16.32766763 -20.34801964 -23.81996415 -26.36726211 -27.71387424
 -27.71387424 -26.36726211 -23.81996415 -20.34801964 -16.32766763
 -12.19457564  -8.39662832  -5.34539221  -3.37151606  -2.6889    ]"
335,"[-112.4042     -110.49246974 -104.96444459  -96.41917186  -85.78266444
  -74.20755295  -62.94818033  -53.22467431  -46.09072764  -42.31941413
  -42.31941413  -46.09072764  -53.22467431  -62.94818033  -74.20755295
  -85.78266444  -96.41917186 -104.96444459 -110.49246974 -112.4042    ]","[-35.819      -36.82748201 -39.74364335 -44.25147271 -49.86247682
 -55.96861633 -61.90819626 -67.03757098 -70.80089314 -72.7903484
 -72.7903484  -70.80089314 -67.03757098 -61.90819626 -55.96861633
 -49.86247682 -44.25147271 -39.74364335 -36.82748201 -35.819     ]"
336,"[-59.4937     -60.33254121 -62.75816338 -66.5077127  -71.17486733
 -76.25386865 -81.19432806 -85.46087011 -88.59114877 -90.24594979
 -90.24594979 -88.59114877 -85.46087011 -81.19432806 -76.25386865
 -71.17486733 -66.5077127  -62.75816338 -60.33254121 -59.4937    ]","[-40.8217     -40.12011997 -38.09140697 -34.95540353 -31.05194428
 -26.8040296  -22.67198696 -19.1035873  -16.48552208 -15.1014993
 -15.1014993  -16.48552208 -19.1035873  -22.67198696 -26.8040296
 -31.05194428 -34.95540353 -38.09140697 -40.12011997 -40.8217    ]"
337,"[-93.5567     -91.47434281 -85.45292697 -76.14496631 -64.55912279
 -51.95090234 -39.68660127 -29.09524691 -21.32457685 -17.21666375
 -17.21666375 -21.32457685 -29.09524691 -39.68660127 -51.95090234
 -64.55912279 -76.14496631 -85.45292697 -91.47434281 -93.5567    ]","[-45.7015     -45.20425399 -43.76640028 -41.54375264 -38.77716941
 -35.76645283 -32.83786075 -30.30875156 -28.45319349 -27.47226505
 -27.47226505 -28.45319349 -30.30875156 -32.83786075 -35.76645283
 -38.77716941 -41.54375264 -43.76640028 -45.20425399 -45.7015    ]"
338,"[-89.9794     -89.71700916 -88.95827074 -87.78540585 -86.32551257
 -84.736793   -83.19140957 -81.85682853 -80.87767247 -80.36004812
 -80.36004812 -80.87767247 -81.85682853 -83.19140957 -84.736793
 -86.32551257 -87.78540585 -88.95827074 -89.71700916 -89.9794    ]","[-26.2025     -26.58161676 -27.67788386 -29.37250374 -31.48183805
 -33.77730768 -36.01016289 -37.93843916 -39.35317784 -40.10107004
 -40.10107004 -39.35317784 -37.93843916 -36.01016289 -33.77730768
 -31.48183805 -29.37250374 -27.67788386 -26.58161676 -26.2025    ]"
339,"[-92.514      -91.35350826 -87.99779034 -82.81049035 -76.35373271
 -69.32720732 -62.49234723 -56.58981557 -52.25924325 -49.96991497
 -49.96991497 -52.25924325 -56.58981557 -62.49234723 -69.32720732
 -76.35373271 -82.81049035 -87.99779034 -91.35350826 -92.514     ]","[-110.5652     -110.42118765 -110.00475656 -109.36103351 -108.55977588
 -107.68781236 -106.83963373 -106.10715331 -105.56974672 -105.28565029
 -105.28565029 -105.56974672 -106.10715331 -106.83963373 -107.68781236
 -108.55977588 -109.36103351 -110.00475656 -110.42118765 -110.5652    ]"
